class_bot,tweets_count,followers_count,friends_count,favourites_count,listed_count,protected,verified,avg_tweet_length,avg_hashtags,avg_mentions,avg_retweets,max_favorite,num_reply,num_retweet,description_contains_bot,friends_followers_ratio,retweet_followers_ratio,favorites_followers_ratio,avg_mentions_status_ratio,avg_favorite_status_ratio,account_age,followers_account_age_ratio,friends_account_age_ratio
0,45825,7065,1822,3804,596,0,0,110.3949922,0.368388106,1.112989045,75.97026604,40,1084,911,0,0.257891012,0.128945506,0.538428875,2.43E-05,1.14E-05,127286,0.055504926,0.014314222
0,11770,1577,678,634,47,0,0,84.8940956,0.36051234,0.711965011,283.7850672,19,899,561,0,0.429930247,0.355738744,0.402029169,6.05E-05,3.46E-05,127119,0.012405699,0.005333585
0,39158,623,529,42,37,0,0,81.20785291,0.040199439,0.959177314,32.98971642,8,1664,221,0,0.849117175,0.354735152,0.06741573,2.45E-05,4.15E-06,126923,0.004908488,0.004167881
0,18035,1620,591,361,72,0,0,84.69851577,0.269944341,0.682127396,199.1533704,7,1122,276,0,0.364814815,0.17037037,0.222839506,3.78E-05,4.73E-06,126899,0.012766058,0.004657247
0,22496,821,552,5897,29,0,0,95.51901082,0.051931994,0.782380216,43.26306028,32,1387,390,0,0.672350792,0.475030451,7.182704019,3.48E-05,2.28E-05,126567,0.006486683,0.004361326
0,29997,558,674,6414,50,0,0,87.89303483,0.088308458,1.205223881,64.52736318,12,2432,443,0,1.207885305,0.79390681,11.49462366,4.02E-05,1.41E-05,126335,0.004416828,0.005335022
0,28400,8375,503,2497,535,0,0,74.55528104,0.200741198,0.830142063,59.37677579,13,1117,730,0,0.060059701,0.087164179,0.298149254,2.92E-05,6.99E-06,126332,0.066293576,0.003981572
0,626,236,300,16,4,0,0,87.88498403,0.250798722,0.714057508,15.73482428,4,325,45,0,1.271186441,0.190677966,0.06779661,0.001140667,6.38E-05,126138,0.001870967,0.002378348
0,8236,346,1235,1744,10,0,0,80.84836193,0.329173167,1.08299532,72.30452418,12,1327,427,0,3.569364162,1.234104046,5.040462428,0.000131495,3.26E-05,125969,0.002746708,0.009803999
0,20225,398,301,8486,21,0,0,100.6501567,0.12539185,0.845454545,485.0626959,7,635,1636,0,0.756281407,4.110552764,21.32160804,4.18E-05,6.57E-06,125872,0.003161942,0.002391318
0,38140,1098,525,4264,68,0,0,75.50528607,0.126554726,0.979166667,311.050995,7,1772,874,0,0.478142077,0.795992714,3.883424408,2.57E-05,5.07E-06,125701,0.008735014,0.004176578
0,106335,720,530,12004,65,0,0,25.55462446,0.04531347,0.108938547,8.62352576,7,274,22,0,0.736111111,0.030555556,16.67222222,1.02E-06,2.36E-06,125432,0.005740162,0.004225397
0,7621,910,853,804,58,0,0,94.11354395,0.613074758,0.913043478,105.1592118,9,1415,268,0,0.937362637,0.294505495,0.883516484,0.000119806,2.61E-05,125428,0.007255158,0.006800714
0,44839,2162,792,9428,93,0,0,85.26728682,0.155658915,1.228837209,180.1010853,244,1469,756,0,0.366327475,0.349676226,4.360777058,2.74E-05,2.87E-05,125387,0.017242617,0.006316444
0,25167,699,359,13544,36,0,0,100.8697544,0.092011191,1.146720547,68.84364315,22,1869,625,0,0.513590844,0.894134478,19.37625179,4.56E-05,2.68E-05,125081,0.005588379,0.00287014
0,6641,1471,1977,7841,52,0,0,109.3594527,0.928171642,1.2664801,250.9458955,17,1180,943,0,1.343983685,0.641060503,5.330387492,0.000190706,3.76E-05,124774,0.011789315,0.015844647
0,7141,180,327,1533,4,0,0,87.5871731,0.375778331,1.2250934,268.3704857,5,1029,1600,0,1.816666667,8.888888889,8.516666667,0.000171558,1.59E-05,124765,0.001442712,0.002620927
0,27226,3420,1519,8380,181,0,0,100.306326,0.235899034,1.083515114,102.3546276,108,836,1562,0,0.444152047,0.456725146,2.450292398,3.98E-05,1.29E-05,124736,0.027417907,0.012177719
0,24072,2245,1260,4402,153,0,0,83.7264268,0.124379653,1.075992556,115.5238834,124,1564,658,0,0.561247216,0.293095768,1.960801782,4.47E-05,3.99E-05,124338,0.018055623,0.010133668
0,1505,66,108,296,3,0,0,81.24617432,0.311377246,0.842315369,543.8908849,9,881,81,0,1.636363636,1.227272727,4.484848485,0.000559678,5.08E-05,123883,0.000532761,0.00087179
0,136700,2135,1799,2361,70,0,0,105.4039363,0.226804124,1.08028741,173.4554827,7,331,2385,0,0.842622951,1.117096019,1.105854801,7.90E-06,2.31E-07,123817,0.01724319,0.014529507
0,90601,62370,427,16576,1547,0,0,80.55091303,0.326524296,0.814298979,1.61095636,201,2003,103,0,0.00684624,0.001651435,0.265768799,8.99E-06,6.37E-05,123666,0.504342341,0.003452849
0,3396,104,386,73,3,0,0,94.405625,0.646875,0.60375,176.269375,8,366,1016,0,3.711538462,9.769230769,0.701923077,0.000177783,1.78E-05,121982,0.000852585,0.003164401
0,8652,541,467,483,26,0,0,75.23734568,0.15154321,0.896604938,8.774382716,29,1767,276,0,0.863216266,0.510166359,0.892791128,0.00010363,4.12E-05,121866,0.004439302,0.003832078
0,902,144,273,28,5,0,0,72.32075472,0.041065483,0.198668147,79.02885683,7,106,34,0,1.895833333,0.236111111,0.194444444,0.000220253,5.91E-05,121814,0.00118213,0.002241122
0,23729,606,270,231,39,0,0,100.6446384,0.609102244,0.48223192,25.97724439,25,772,106,0,0.445544554,0.174917492,0.381188119,2.03E-05,1.43E-05,121121,0.005003261,0.002229176
0,36166,828,289,474,57,0,0,70.62125425,0.047883843,0.791473587,123.3660797,64,1581,480,0,0.349033816,0.579710145,0.572463768,2.19E-05,5.19E-06,120930,0.006846936,0.002389812
0,8641,393,985,4128,34,0,0,98.03530505,0.729018272,0.997212759,118.9519975,4,653,1083,0,2.506361323,2.755725191,10.50381679,0.000115405,1.15E-05,120715,0.003255602,0.008159715
0,135552,1585,183,9616,65,0,0,103.7460815,0.519122257,1.046394984,46.33134796,24,640,1615,0,0.115457413,1.018927445,6.066876972,7.72E-06,2.24E-06,120077,0.013199863,0.001524022
0,30710,135,404,1147,11,0,0,91.14414135,0.204897706,0.905145691,111.9609423,14,1660,348,0,2.992592593,2.577777778,8.496296296,2.95E-05,1.99E-05,119670,0.001128102,0.003375951
0,82194,4493,1894,1636,132,0,0,74.95017023,0.079232436,0.627050449,26.74373259,47,1034,382,0,0.421544625,0.085021144,0.364121968,7.63E-06,3.49E-06,119499,0.037598641,0.015849505
0,1913,300,193,54,8,0,0,72.98114196,0.077527501,0.367207962,12.49502357,7,398,44,0,0.643333333,0.146666667,0.18,0.000191954,3.23E-05,119445,0.002511616,0.001615806
0,8467,589,517,4151,19,0,0,101.662099,0.37589536,0.600124572,32.099346,10,271,582,0,0.877758913,0.98811545,7.0475382,7.09E-05,2.16E-05,119274,0.00493821,0.004334557
0,19697,746,237,66,25,0,0,84.41939547,0.222292191,1.038098237,313.6278338,13,1337,861,0,0.31769437,1.154155496,0.08847185,5.27E-05,3.07E-06,119090,0.00626417,0.001990092
0,1677,834,264,34,28,0,0,87.99461078,0.255688623,0.94011976,30.96586826,76,814,190,0,0.316546763,0.227817746,0.040767386,0.000560596,0.00010355,119041,0.00700599,0.002217723
0,5439,342,95,165,12,0,0,80.35165174,0.026860142,0.934856437,103.7289287,43,1894,423,0,0.277777778,1.236842105,0.48245614,0.00017188,4.79E-05,118679,0.002881723,0.000800479
0,485,58,101,1,5,0,0,92.33471074,0.675619835,0.665289256,70.20867769,2,72,147,0,1.74137931,2.534482759,0.017241379,0.00137173,0.000136321,118478,0.000489542,0.000852479
0,53749,1361,1492,9321,80,0,0,100.7045877,0.19249845,1.159950403,67.51549907,16,1342,1247,0,1.096252755,0.91623806,6.848640705,2.16E-05,3.75E-06,118289,0.011505719,0.012613176
0,11106,612,1518,2676,24,0,0,75.02897196,0.182866044,0.969158879,43.51401869,17,1572,537,0,2.480392157,0.87745098,4.37254902,8.73E-05,1.39E-05,118167,0.005179111,0.012846226
0,4231,692,2001,381,8,0,0,93.44486098,0.350203062,0.517963137,42.93908154,7,140,694,0,2.891618497,1.002890173,0.550578035,0.000122421,8.93E-06,118015,0.005863661,0.016955472
0,23274,1484,1307,320,43,0,0,85.48243705,0.578178427,1.065589058,63.95958968,40,1294,677,0,0.880727763,0.456199461,0.215633423,4.58E-05,1.02E-05,117689,0.012609505,0.011105541
